"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"VILLA GDOR. LUIS F. ETCHEVEHERE";3114;1;"3114-1";"3114-1*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3114-1' WHERE loc_cpos = 3114 AND loc_scpo = 1;"
"ESTACIÓN RASED";3115;0;"3115-0";"";"INSERT INTO tbl_localidades VALUES ('3115-0', 'ESTACIÓN RASED(3115-0)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN RASED(3115-0)', 0, '1', 'ESTACIÓN RASED', 3115, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"CRESPO";3116;0;"3116-0";"3116-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3116-0' WHERE loc_cpos = 3116 AND loc_scpo = 0;"
"SEGUÍ";3117;0;"3117-0";"3117-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3117-0' WHERE loc_cpos = 3117 AND loc_scpo = 0;"
"DON CRISTOBAL";3118;0;"3118-0";"";"INSERT INTO tbl_localidades VALUES ('3118-0', 'DON CRISTOBAL(3118-0)', NOW(), NOW(), '1', '1', 'Localidad DON CRISTOBAL(3118-0)', 0, '1', 'DON CRISTOBAL', 3118, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"COLONIA CRESPO";3118;1;"3118-1";"3116-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3116-0' WHERE loc_cpos = 3118 AND loc_scpo = 1;"
"RAMIREZ";3118;2;"3118-2";"";"INSERT INTO tbl_localidades VALUES ('3118-2', 'RAMIREZ(3118-2)', NOW(), NOW(), '1', '1', 'Localidad RAMIREZ(3118-2)', 0, '1', 'RAMIREZ', 3118, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"VIALE";3120;0;"3120-0";"3120-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3120-0' WHERE loc_cpos = 3120 AND loc_scpo = 0;"
"TABOSSI";3122;0;"3122-0";"3122-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3122-0' WHERE loc_cpos = 3122 AND loc_scpo = 0;"
"ESTACION SOSA";3123;0;"3123-0";"3123-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3123-0' WHERE loc_cpos = 3123 AND loc_scpo = 0;"
"MARIA GRANDE 2DA";3124;0;"3124-0";"";"INSERT INTO tbl_localidades VALUES ('3124-0', 'MARIA GRANDE 2DA(3124-0)', NOW(), NOW(), '1', '1', 'Localidad MARIA GRANDE 2DA(3124-0)', 0, '1', 'MARIA GRANDE 2DA', 3124, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"HASENKAMP";3126;0;"3126-0";"3126-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3126-0' WHERE loc_cpos = 3126 AND loc_scpo = 0;"
"LAS GARZAS";3127;0;"3127-0";"3127-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3127-0' WHERE loc_cpos = 3127 AND loc_scpo = 0;"
"PUEBLO BELLOCQ";3127;1;"3127-1";"3127-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3127-1' WHERE loc_cpos = 3127 AND loc_scpo = 1;"
"ALCARAZ";3128;0;"3128-0";"3138-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3138-0' WHERE loc_cpos = 3128 AND loc_scpo = 0;"
"PIEDRAS BLANCAS";3129;0;"3129-0";"3129-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3129-0' WHERE loc_cpos = 3129 AND loc_scpo = 0;"
"BOVRIL";3130;0;"3130-0";"3130-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3130-0' WHERE loc_cpos = 3130 AND loc_scpo = 0;"
"SIR LEONARD";3131;0;"3131-0";"";"INSERT INTO tbl_localidades VALUES ('3131-0', 'SIR LEONARD(3131-0)', NOW(), NOW(), '1', '1', 'Localidad SIR LEONARD(3131-0)', 0, '1', 'SIR LEONARD', 3131, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"CERRITO";3133;0;"3133-0";"3133-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3133-0' WHERE loc_cpos = 3133 AND loc_scpo = 0;"
"PUEBLO BRUGO";3133;1;"3133-1";"3133-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3133-1' WHERE loc_cpos = 3133 AND loc_scpo = 1;"
"HERNANDARIAS";3134;0;"3134-0";"3134-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3134-0' WHERE loc_cpos = 3134 AND loc_scpo = 0;"
"ALCARAZ";3138;0;"3138-0";"3138-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3138-0' WHERE loc_cpos = 3138 AND loc_scpo = 0;"
"NOGOYA";3150;0;"3150-0";"3150-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3150-0' WHERE loc_cpos = 3150 AND loc_scpo = 0;"
"FEBRE";3150;1;"3150-1";"3150-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3150-1' WHERE loc_cpos = 3150 AND loc_scpo = 1;"
"XX DE SETIEMBRE";3150;2;"3150-2";"";"INSERT INTO tbl_localidades VALUES ('3150-2', 'XX DE SETIEMBRE(3150-2)', NOW(), NOW(), '1', '1', 'Localidad XX DE SETIEMBRE(3150-2)', 0, '1', 'XX DE SETIEMBRE', 3150, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"BETBEDER";3152;0;"3152-0";"";"INSERT INTO tbl_localidades VALUES ('3152-0', 'BETBEDER(3152-0)', NOW(), NOW(), '1', '1', 'Localidad BETBEDER(3152-0)', 0, '1', 'BETBEDER', 3152, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"VICTORIA";3153;0;"3153-0";"3153-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3153-0' WHERE loc_cpos = 3153 AND loc_scpo = 0;"
