loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3191;0;SAN VÍCTOR (3191-0);3191-0;SAN VÍCTOR;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.57 con SAN GUSTAVO);
3191;1;SAN GUSTAVO (3191-1);3191-1;SAN GUSTAVO;3191-0;MATCH_EXACTO;Nombre idéntico;SAN GUSTAVO (3191-0)
3192;0;SANTA ELENA (3192-0);3192-0;SANTA ELENA;3192-0;MATCH_EXACTO;Nombre idéntico;SANTA ELENA (3192-0)
3192;1;EL COLORADO (3192-1);3192-1;EL COLORADO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.27 con SANTA ELENA);
3200;0;CONCORDIA (3200-0);3200-0;CONCORDIA;3200-0;MATCH_EXACTO;Nombre idéntico;CONCORDIA (3200-0)
3201;0;COLONIA YERUA (ESTACIÓN YERUÁ) (3201-0);3201-0;COLONIA YERUA;3201-1;SINONIMO_PREFIJO;Mismo nombre base;PUERTO YERUA (3201-1)
3201;1;VILLA ZORRAQUIN (3201-1);3201-1;VILLA ZORRAQUIN;3201-2;MATCH_EXACTO;Nombre idéntico;VILLA ZORRAQUIN (3201-2)
3201;2;PUERTO YERUA (3201-2);3201-2;PUERTO YERUA;3201-1;MATCH_EXACTO;Nombre idéntico;PUERTO YERUA (3201-1)
3201;3;VILLA ADELA (3201-3);3201-3;VILLA ADELA;3201-0;MATCH_EXACTO;Nombre idéntico;VILLA ADELA (3201-0)
3201;4;ESTANCIA GRANDE (3201-4);3201-4;ESTANCIA GRANDE;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.46 con VILLA ADELA);
3201;5;NUEVA ESCOCIA (3201-5);3201-5;NUEVA ESCOCIA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.42 con VILLA ADELA);
3201;6;COLONIA GENERAL ROCA (3201-6);3201-6;COLONIA GENERAL ROCA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.67 con COLONIA YERUA);
3203;0;PEDERNAL (3203-0);3203-0;PEDERNAL;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.21 con CALABACILLA);
