er_loc_cpos;er_loc_scpo;er_name;er_name_sin_cp;tbl_loc_cpos;tbl_loc_scpo;tbl_name;tbl_name_sin_cp
3201;3;VILLA ADELA (3201-3);VILLA ADELA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;3;VILLA ADELA (3201-3);VILLA ADELA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;4;ESTANCIA GRANDE (3201-4);ESTANCIA GRANDE;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;5;NUEVA ESCOCIA (3201-5);NUEVA ESCOCIA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;0;VILLA ADELA (3201-0);VILLA ADELA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;1;PUERTO YERUA (3201-1);PUERTO YERUA
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;2;VILLA ZORRAQUIN (3201-2);VILLA ZORRAQUIN
3201;6;COLONIA GENERAL ROCA (3201-6);COLONIA GENERAL ROCA;3201;3;COLONIA YERUA (3201-3);COLONIA YERUA
3203;0;PEDERNAL (3203-0);PEDERNAL;3203;0;CALABACILLA (3203-0);CALABACILLA
3203;1;CLODOMIRO LEDESMA (3203-1);CLODOMIRO LEDESMA;3203;0;CALABACILLA (3203-0);CALABACILLA
3203;3;BENITO LEGERÉN (3203-3);BENITO LEGERÉN;3203;0;CALABACILLA (3203-0);CALABACILLA
3206;0;FEDERACIÓN (3206-0);FEDERACIÓN;3206;0;FEDERACION (3206-0);FEDERACION
3206;1;COLONIA LA ARGENTINA (3206-1);COLONIA LA ARGENTINA;3206;0;FEDERACION (3206-0);FEDERACION
3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;1;NUEVA VIZCAYA (3212-1);NUEVA VIZCAYA;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;2;LA CRIOLLA (3212-2);LA CRIOLLA;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;2;LA CRIOLLA (3212-2);LA CRIOLLA;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;0;LOS CHARRUAS (3212-0);LOS CHARRUAS
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;1;LA CRIOLLA (3212-1);LA CRIOLLA
3212;3;OSVALDO MAGNASCO (3212-3);OSVALDO MAGNASCO;3212;2;OSVALDO  MAGNASCO (3212-2);OSVALDO  MAGNASCO
3216;0;GENERAL CAMPOS (3216-0);GENERAL CAMPOS;3216;0;GRAL.CAMPOS (3216-0);GRAL.CAMPOS
3228;1;COLONIA ALEMANA (3228-1);COLONIA ALEMANA;3228;0;CHAJARI (3228-0);CHAJARI
3228;2;LA FLORIDA (COLONIA OFICIAL Nº1) (3228-2);LA FLORIDA;3228;0;CHAJARI (3228-0);CHAJARI
